isin,per_isin_id,issuer_name,issuer_sector,bond_label,bond_amount,bond_currency,bond_USD_amount,total_USD_allocated,pre_icma_category,pre_category_as_reported,pre_subcategory,pre_subcategory_as_reported,pre_subcategory_description,pre_eligibility_criteria,pre_exclusions,post_icma_category,post_category_as_reported,post_subcategory,post_subcategory_as_reported,post_allocation_detail,eu_tax_category,post_allocation_value,post_allocation_currency,post_allocation_USD,post_allocation_share_of_total,pre_source_detail,post_source_detail,source_trail
IDA0001173A6,1,Sinar Mas Multiartha,Paper & Forest Products,Sustainability,507000000000,IDR,35577897.66,0.0,Clean Transportation,Clean Transportation,Clean Transportation — Other,Clean Transportation,Clean Transportation,,Category 11 'Kegiatan usaha dan/atau kegiatan lain yang berwawasan lingkungan lainnya' (Other environmental activities) excluded per agent guidance,,,,,,,,,,,https://source.arctal.ai/entities/oki-pulp-paper-mills-pt/bond-prospectus__2024__pt-oki-pulp-paper-mills-phase-v-sustainable-offering__2024-07-01__fa173a519d65.pdf#page=10,,
IDA0001173A6,2,Sinar Mas Multiartha,Paper & Forest Products,Sustainability,507000000000,IDR,35577897.66,0.0,Climate Change Adaptation,Climate Change Adaptation,Resilient Infrastructure,Climate Change Adaptation,Climate Change Adaptation,,Category 11 'Kegiatan usaha dan/atau kegiatan lain yang berwawasan lingkungan lainnya' (Other environmental activities) excluded per agent guidance,,,,,,,,,,,https://source.arctal.ai/entities/oki-pulp-paper-mills-pt/bond-prospectus__2024__pt-oki-pulp-paper-mills-phase-v-sustainable-offering__2024-07-01__fa173a519d65.pdf#page=10,,
IDA0001173A6,3,Sinar Mas Multiartha,Paper & Forest Products,Sustainability,507000000000,IDR,35577897.66,0.0,"Eco-efficient & Circular Economy Adapted Products, Production Technologies & Processes","Eco-efficient Products, Production Technologies and Processes",Eco-efficient Products,Eco-efficient & Circular Economy Adapted Products Production Technologies & Processes,"Eco-efficient Products, Production Technologies and Processes",,Category 11 'Kegiatan usaha dan/atau kegiatan lain yang berwawasan lingkungan lainnya' (Other environmental activities) excluded per agent guidance,,,,,,,,,,,https://source.arctal.ai/entities/oki-pulp-paper-mills-pt/bond-prospectus__2024__pt-oki-pulp-paper-mills-phase-v-sustainable-offering__2024-07-01__fa173a519d65.pdf#page=10,,
IDA0001173A6,4,Sinar Mas Multiartha,Paper & Forest Products,Sustainability,507000000000,IDR,35577897.66,0.0,Energy Efficiency,Energy Efficiency,Energy Efficiency — Other,Energy Efficiency,Energy Efficiency,,Category 11 'Kegiatan usaha dan/atau kegiatan lain yang berwawasan lingkungan lainnya' (Other environmental activities) excluded per agent guidance,,,,,,,,,,,https://source.arctal.ai/entities/oki-pulp-paper-mills-pt/bond-prospectus__2024__pt-oki-pulp-paper-mills-phase-v-sustainable-offering__2024-07-01__fa173a519d65.pdf#page=10,,
IDA0001173A6,5,Sinar Mas Multiartha,Paper & Forest Products,Sustainability,507000000000,IDR,35577897.66,0.0,Environmentally Sustainable Management of Living Natural Resources & Land Use,Sustainable Management of Living Natural Resources and Land Use,Environmentally Sustainable Management of Living Natural Resources & Land Use — Other,Environmentally Sustainable Management of Living Natural Resources & Land Use,Sustainable Management of Living Natural Resources and Land Use,,Category 11 'Kegiatan usaha dan/atau kegiatan lain yang berwawasan lingkungan lainnya' (Other environmental activities) excluded per agent guidance,,,,,,,,,,,https://source.arctal.ai/entities/oki-pulp-paper-mills-pt/bond-prospectus__2024__pt-oki-pulp-paper-mills-phase-v-sustainable-offering__2024-07-01__fa173a519d65.pdf#page=10,,
IDA0001173A6,6,Sinar Mas Multiartha,Paper & Forest Products,Sustainability,507000000000,IDR,35577897.66,0.0,Green Buildings,Green Buildings,Green Buildings — Other,Green Buildings,Green Buildings,,Category 11 'Kegiatan usaha dan/atau kegiatan lain yang berwawasan lingkungan lainnya' (Other environmental activities) excluded per agent guidance,,,,,,,,,,,https://source.arctal.ai/entities/oki-pulp-paper-mills-pt/bond-prospectus__2024__pt-oki-pulp-paper-mills-phase-v-sustainable-offering__2024-07-01__fa173a519d65.pdf#page=10,,
IDA0001173A6,7,Sinar Mas Multiartha,Paper & Forest Products,Sustainability,507000000000,IDR,35577897.66,0.0,Pollution Prevention and Control,Pollution Prevention and Control,Pollution Prevention and Control — Other,Pollution Prevention and Control,Pollution Prevention and Control,,Category 11 'Kegiatan usaha dan/atau kegiatan lain yang berwawasan lingkungan lainnya' (Other environmental activities) excluded per agent guidance,,,,,,,,,,,https://source.arctal.ai/entities/oki-pulp-paper-mills-pt/bond-prospectus__2024__pt-oki-pulp-paper-mills-phase-v-sustainable-offering__2024-07-01__fa173a519d65.pdf#page=10,,
IDA0001173A6,8,Sinar Mas Multiartha,Paper & Forest Products,Sustainability,507000000000,IDR,35577897.66,0.0,Renewable Energy,Renewable Energy,Renewable Energy — Other,Renewable Energy,Renewable Energy,,Category 11 'Kegiatan usaha dan/atau kegiatan lain yang berwawasan lingkungan lainnya' (Other environmental activities) excluded per agent guidance,,,,,,,,,,,https://source.arctal.ai/entities/oki-pulp-paper-mills-pt/bond-prospectus__2024__pt-oki-pulp-paper-mills-phase-v-sustainable-offering__2024-07-01__fa173a519d65.pdf#page=10,,
IDA0001173A6,9,Sinar Mas Multiartha,Paper & Forest Products,Sustainability,507000000000,IDR,35577897.66,0.0,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management — Other,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,,Category 11 'Kegiatan usaha dan/atau kegiatan lain yang berwawasan lingkungan lainnya' (Other environmental activities) excluded per agent guidance,,,,,,,,,,,https://source.arctal.ai/entities/oki-pulp-paper-mills-pt/bond-prospectus__2024__pt-oki-pulp-paper-mills-phase-v-sustainable-offering__2024-07-01__fa173a519d65.pdf#page=10,,
IDA0001173A6,10,Sinar Mas Multiartha,Paper & Forest Products,Sustainability,507000000000,IDR,35577897.66,0.0,Terrestrial & Aquatic Biodiversity Conservation,Terrestrial and Aquatic Biodiversity Conservation,Biodiversity Conservation,Terrestrial & Aquatic Biodiversity Conservation,Terrestrial and Aquatic Biodiversity Conservation,,Category 11 'Kegiatan usaha dan/atau kegiatan lain yang berwawasan lingkungan lainnya' (Other environmental activities) excluded per agent guidance,,,,,,,,,,,https://source.arctal.ai/entities/oki-pulp-paper-mills-pt/bond-prospectus__2024__pt-oki-pulp-paper-mills-phase-v-sustainable-offering__2024-07-01__fa173a519d65.pdf#page=10,,
US924258S980,1,Vermont ST,SSA,Green,1010000,USD,1010000.0,1010000.0,Climate Change Adaptation,Climate Change Adaptation,Flood Protection,Climate Change Mitigation and Resilience,"Projects that mitigate the effects of climate change to communities, agricultural lands and habitats, including natural resource replacement, flood prevention, preventative improvements and hydrology projects",,,,,,,,,,,,,https://source.arctal.ai/entities/vermont-st/bond-prospectus__2015__official-three-series-state-vermont-general-obligation__2015-10-19__d2b137c52ef7.pdf#page=9,,
US924258S980,2,Vermont ST,SSA,Green,1010000,USD,1010000.0,1010000.0,Energy Efficiency,Energy Efficiency,Building Energy Efficiency,Energy Efficiency and Conservation Projects in State Buildings,"Projects designed to reduce energy costs in existing or new public buildings, including alternative energy, lighting and HVAC improvements, or create energy-saving LEED certified buildings",,,,,,,,,,,,,https://source.arctal.ai/entities/vermont-st/bond-prospectus__2015__official-three-series-state-vermont-general-obligation__2015-10-19__d2b137c52ef7.pdf#page=9,,
US924258S980,3,Vermont ST,SSA,Green,1010000,USD,1010000.0,1010000.0,Green Buildings,Green Buildings,New Buildings,Restoration of the Waterbury State Office Complex,"Completion of construction of the new Waterbury State Office Complex, designed to meet LEED Gold standards. Overall project is $130,000,000 with approximately $83,000,000 State capital investment.",,,,,,,,,,,,,https://source.arctal.ai/entities/vermont-st/bond-prospectus__2015__official-three-series-state-vermont-general-obligation__2015-10-19__d2b137c52ef7.pdf#page=9,,
US924258S980,4,Vermont ST,SSA,Green,1010000,USD,1010000.0,1010000.0,,,,,,,,Other,,,,Green Bonds used to fund projects with positive environmental and/or climate benefits,,1009999.9999999999,USD,1010000.0,1.0,,https://source.arctal.ai/entities/vermont-st/AR__2015__vermont-office-state-treasurer-under-beth-pearce-details__2016-01-XX__739a14ad9baa.pdf#page=37,"Fallback: using bond_total entry | Capped: USD sum 28,515,000 > bond_USD_amount 1,010,000 (from DB), ×0.0354"
US924258S980,5,Vermont ST,SSA,Green,1010000,USD,1010000.0,1010000.0,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,Clean/Drinking Water Supply,"Clean Water, Wastewater and Waste Management Projects","Projects designed to improve the quality of drinking water, reduce pollution in the State's water supply, improve water supply reliability, or treat and manage wastewater and waste around the State",,,,,,,,,,,,,https://source.arctal.ai/entities/vermont-st/bond-prospectus__2015__official-three-series-state-vermont-general-obligation__2015-10-19__d2b137c52ef7.pdf#page=9,,
US924258S980,6,Vermont ST,SSA,Green,1010000,USD,1010000.0,1010000.0,Terrestrial & Aquatic Biodiversity Conservation,Environmentally Sustainable Management of Living Natural Resources & Land Use,Biodiversity Conservation,"Forest Conservation, Ecosystem Restoration and Protection","Projects designed to include rehabilitation of environments or ecologies, natural habitat restoration and management, wetland restoration and reforestation, protection and conservation of forests and wildlife habitat",,,,,,,,,,,,,https://source.arctal.ai/entities/vermont-st/bond-prospectus__2015__official-three-series-state-vermont-general-obligation__2015-10-19__d2b137c52ef7.pdf#page=9,,
XS1908374322,1,Wuhan Metro Group,Ground Transportation,Green,400000000,USD,400000000.0,0.0,Clean Transportation,Clean Transportation,Public Transport,Metro Line 5,起于南三环，止于武汉火车站，线路全长约33.6公里，设站26座，其中地下站20座，高架站6座，设工人村车辆段和青菱停车场各1座,,Working capital (补充营运资金) of 10.00 billion CNY is excluded as not an eligible green project,,,,,,,,,,,https://source.arctal.ai/entities/wuhan-metro/bond-prospectus__2018__official-wuhan-metro-group-co-LTD-first-issue-green-1801-15__2018-04-XX__39951a3d1f3d.pdf#page=119,,
XS1908374322,2,Wuhan Metro Group,Ground Transportation,Green,400000000,USD,400000000.0,0.0,Clean Transportation,Clean Transportation,Public Transport,Metro Line 8 Phase II,Urban metro rail infrastructure - Line 8 Phase II,,Working capital (补充营运资金) of 10.00 billion CNY is excluded as not an eligible green project,,,,,,,,,,,https://source.arctal.ai/entities/wuhan-metro/bond-prospectus__2018__official-wuhan-metro-group-co-LTD-first-issue-green-1801-15__2018-04-XX__39951a3d1f3d.pdf#page=119,,
XS1908374322,3,Wuhan Metro Group,Ground Transportation,Green,400000000,USD,400000000.0,0.0,Clean Transportation,Clean Transportation,Public Transport,Caidian Line,Urban metro rail infrastructure - Caidian Line,,Working capital (补充营运资金) of 10.00 billion CNY is excluded as not an eligible green project,,,,,,,,,,,https://source.arctal.ai/entities/wuhan-metro/bond-prospectus__2018__official-wuhan-metro-group-co-LTD-first-issue-green-1801-15__2018-04-XX__39951a3d1f3d.pdf#page=119,,
US011839YW16,1,Alaska Housing Finance Corp.,SSA,Social,4010000,USD,4010000.0,,Affordable Housing,Affordable Housing,Low-income Housing,First-time Homebuyers,First-time homebuyer mortgage loans,,,,,,,,,,,,,https://source.arctal.ai/entities/alaska-housing-finance-corp/bond-prospectus__2022__official-alaska-housing-finance-corporation-122-795-million__2021-12-02__1b19e96b9087.pdf#page=10,,
US011839YW16,2,Alaska Housing Finance Corp.,SSA,Social,4010000,USD,4010000.0,,Affordable Housing,Affordable Housing,Low-income Housing,Minority Households,Mortgage loans for minority households,,,,,,,,,,,,,https://source.arctal.ai/entities/alaska-housing-finance-corp/bond-prospectus__2022__official-alaska-housing-finance-corporation-122-795-million__2021-12-02__1b19e96b9087.pdf#page=10,,
US011839YW16,3,Alaska Housing Finance Corp.,SSA,Social,4010000,USD,4010000.0,,Affordable Housing,Affordable Housing,Low-income Housing,Rural/Remote Areas,Mortgage loans for rural and remote areas,,"Series A amounts are excluded as they represent a different bond series, not the Social Bond being reported.",,,,,,,,,,,https://source.arctal.ai/entities/alaska-housing-finance-corp/bond-prospectus__2022__official-alaska-housing-finance-corporation-122-795-million__2021-12-02__1b19e96b9087.pdf#page=10,,
US011839YW16,4,Alaska Housing Finance Corp.,SSA,Social,4010000,USD,4010000.0,,Affordable Housing,Affordable Housing,Low-income Housing,Senior Households (55+),Mortgage loans for senior households aged 55 and over,,"Series A amounts are excluded as they represent a different bond series, not the Social Bond being reported.",,,,,,,,,,,https://source.arctal.ai/entities/alaska-housing-finance-corp/bond-prospectus__2022__official-alaska-housing-finance-corporation-122-795-million__2021-12-02__1b19e96b9087.pdf#page=10,,
US13034A7X25,1,California Infrastructure and Economic Development Bank,Capital Markets,Green,24810000,USD,24810000.0,,Pollution Prevention and Control,Pollution Prevention and Control,Pollution Prevention and Control — Other,Nonpoint Source Pollution Management,Nonpoint source pollution management systems,,,,,,,,,,,,,https://source.arctal.ai/entities/california-infrastructure-and-economic-development/bond-prospectus__2025__preliminary-official-557-325-000-issuance-clean-water__2025-10-XX__e83a84fcdc65.pdf#page=15,,
US13034A7X25,2,California Infrastructure and Economic Development Bank,Capital Markets,Green,24810000,USD,24810000.0,,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,Clean/Drinking Water Supply,Drinking Water Violations Remediation,Projects that address present or prevent future violations of health-based drinking water standards,,,,,,,,,,,,,https://source.arctal.ai/entities/california-infrastructure-and-economic-development/bond-prospectus__2025__preliminary-official-557-325-000-issuance-clean-water__2025-10-XX__e83a84fcdc65.pdf#page=15,,
US13034A7X25,3,California Infrastructure and Economic Development Bank,Capital Markets,Green,24810000,USD,24810000.0,,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management — Other,Security Measures,Security measures for public treatment facilities,,,,,,,,,,,,,https://source.arctal.ai/entities/california-infrastructure-and-economic-development/bond-prospectus__2025__preliminary-official-557-325-000-issuance-clean-water__2025-10-XX__e83a84fcdc65.pdf#page=15,,
US13034A7X25,4,California Infrastructure and Economic Development Bank,Capital Markets,Green,24810000,USD,24810000.0,,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management — Other,Water Reuse and Recycling,"Wastewater, stormwater, or subsurface drainage water reuse or recycling",,,,,,,,,,,,,https://source.arctal.ai/entities/california-infrastructure-and-economic-development/bond-prospectus__2025__preliminary-official-557-325-000-issuance-clean-water__2025-10-XX__e83a84fcdc65.pdf#page=15,,
US13034A7X25,5,California Infrastructure and Economic Development Bank,Capital Markets,Green,24810000,USD,24810000.0,,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,Urban Drainage,Stormwater and Subsurface Drainage,Stormwater or subsurface drainage water systems,,,,,,,,,,,,,https://source.arctal.ai/entities/california-infrastructure-and-economic-development/bond-prospectus__2025__preliminary-official-557-325-000-issuance-clean-water__2025-10-XX__e83a84fcdc65.pdf#page=15,,
US13034A7X25,6,California Infrastructure and Economic Development Bank,Capital Markets,Green,24810000,USD,24810000.0,,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,Wastewater Treatment,Wastewater Management Systems,"Planning, design, construction and implementation of wastewater management systems",,,,,,,,,,,,,https://source.arctal.ai/entities/california-infrastructure-and-economic-development/bond-prospectus__2025__preliminary-official-557-325-000-issuance-clean-water__2025-10-XX__e83a84fcdc65.pdf#page=15,,
US13034A7X25,7,California Infrastructure and Economic Development Bank,Capital Markets,Green,24810000,USD,24810000.0,,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,Wastewater Treatment,Decentralized Wastewater Treatment,Decentralized wastewater treatment systems,,,,,,,,,,,,,https://source.arctal.ai/entities/california-infrastructure-and-economic-development/bond-prospectus__2025__preliminary-official-557-325-000-issuance-clean-water__2025-10-XX__e83a84fcdc65.pdf#page=15,,
US13034A7X25,8,California Infrastructure and Economic Development Bank,Capital Markets,Green,24810000,USD,24810000.0,,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,Wastewater Treatment,Capacity and Energy Reduction,Capacity or energy reduction measures for public treatment facilities,,,,,,,,,,,,,https://source.arctal.ai/entities/california-infrastructure-and-economic-development/bond-prospectus__2025__preliminary-official-557-325-000-issuance-clean-water__2025-10-XX__e83a84fcdc65.pdf#page=15,,
US13034A7X25,9,California Infrastructure and Economic Development Bank,Capital Markets,Green,24810000,USD,24810000.0,,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,Water Distribution,Aging Infrastructure Replacement,Projects to replace aging infrastructure,,,,,,,,,,,,,https://source.arctal.ai/entities/california-infrastructure-and-economic-development/bond-prospectus__2025__preliminary-official-557-325-000-issuance-clean-water__2025-10-XX__e83a84fcdc65.pdf#page=15,,
US13034A7X25,10,California Infrastructure and Economic Development Bank,Capital Markets,Green,24810000,USD,24810000.0,,Terrestrial & Aquatic Biodiversity Conservation,Sustainable Water and Wastewater Management,Coastal & Marine Protection,Estuary Conservation and Management,Estuary conservation and management,,,,,,,,,,,,,https://source.arctal.ai/entities/california-infrastructure-and-economic-development/bond-prospectus__2025__preliminary-official-557-325-000-issuance-clean-water__2025-10-XX__e83a84fcdc65.pdf#page=15,,
US13034A7X25,11,California Infrastructure and Economic Development Bank,Capital Markets,Green,24810000,USD,24810000.0,,Terrestrial & Aquatic Biodiversity Conservation,Sustainable Water and Wastewater Management,Watershed Protection,Watershed Projects,Watershed projects,,,,,,,,,,,,,https://source.arctal.ai/entities/california-infrastructure-and-economic-development/bond-prospectus__2025__preliminary-official-557-325-000-issuance-clean-water__2025-10-XX__e83a84fcdc65.pdf#page=15,,
US422511EA93,1,"City of Heber Springs, AR",SSA,Green,105000,USD,105000.0,,Sustainable Water and Wastewater Management,Sustainable Water and Wastewater Management,Wastewater Treatment,Sustainable Water and Wastewater Management,"Water and sewer infrastructure improvements including treatment skid at water treatment plant, sanitary sewer collection system improvements, water distribution piping improvements, pump station upgrades, wastewater treatment plant improvements, main sewer line improvements, and pump station with holding tank and elevated storage tank completion",,,,,,,,,,,,,https://source.arctal.ai/entities/city-of-heber-springs/bond-prospectus__2019__official-15-495-000-water-sewer-revenue-bonds-series-issued__2019-08-20__6ad76bad2af4.pdf#page=9,,
US873519PV83,1,"City of Tacoma, WA",SSA,Green,6220000,USD,6220000.0,,Energy Efficiency,Pollution Prevention and Control,LED Lighting,General Plant Facilities,"LED lighting projects, security upgrades",,,,,,,,,,,,,https://source.arctal.ai/entities/city-of-tacoma/bond-prospectus__2021__official-city-tacoma-121-855-million-electric-system__2021-08-25__aa5896b597d0.pdf#page=192,,
US873519PV83,2,"City of Tacoma, WA",SSA,Green,6220000,USD,6220000.0,,Energy Efficiency,Renewable Energy,Smart Grids,System Reliability and Modernization,"Advanced metering infrastructure, substation work, transformer purchases and upgrades, voltage optimization at substations for energy savings",,,,,,,,,,,,,https://source.arctal.ai/entities/city-of-tacoma/bond-prospectus__2021__official-city-tacoma-121-855-million-electric-system__2021-08-25__aa5896b597d0.pdf#page=192,,
US873519PV83,3,"City of Tacoma, WA",SSA,Green,6220000,USD,6220000.0,,Renewable Energy,Renewable Energy,Hydropower,Power Generation and Management,Maintenance and improvements to hydroelectric renewable energy generation infrastructure,,,,,,,,,,,,,https://source.arctal.ai/entities/city-of-tacoma/bond-prospectus__2021__official-city-tacoma-121-855-million-electric-system__2021-08-25__aa5896b597d0.pdf#page=192,,
US873519PV83,4,"City of Tacoma, WA",SSA,Green,6220000,USD,6220000.0,,Renewable Energy,Renewable Energy,Renewable Energy Transmission,Transmission and Distribution,"Distribution network improvements (underground cable replacement, pole and overhead replacements)",,,,,,,,,,,,,https://source.arctal.ai/entities/city-of-tacoma/bond-prospectus__2021__official-city-tacoma-121-855-million-electric-system__2021-08-25__aa5896b597d0.pdf#page=192,,
US873519PV83,5,"City of Tacoma, WA",SSA,Green,6220000,USD,6220000.0,,Terrestrial & Aquatic Biodiversity Conservation,Terrestrial & Aquatic Biodiversity Conservation,Watershed Protection,Natural Resource Management,"Fish facility and hatchery projects at Cushman Hydro Project and Cowlitz Falls Fish Facility, modification of Mayfield Fish Passage, modernization of water treatment system at Cowlitz Trout Hatchery, debris removal at reservoirs, barrier dam repairs",,,,,,,,,,,,,https://source.arctal.ai/entities/city-of-tacoma/bond-prospectus__2021__official-city-tacoma-121-855-million-electric-system__2021-08-25__aa5896b597d0.pdf#page=192,,
US34446ABM99,1,Fond Du Lac,SSA,Social,10715000,USD,10715000.0,,Access to Essential Services,Affordable Basic Infrastructure,Access to Essential Services — Other,Affordable Basic Infrastructure,Expanding affordable basic infrastructure through telecommunications infrastructure build and installation in five counties in Wisconsin,,,,,,,,,,,,,https://source.arctal.ai/entities/fond-du-lac/bond-prospectus__2022__preliminary-limited-offering-memorandum-fond-du-lac-county__2022-06-27__e15fe5f797ca.pdf#page=24,,
US34446ABM99,2,Fond Du Lac,SSA,Social,10715000,USD,10715000.0,,Access to Essential Services,Access to Essential Services,Access to Essential Services — Other,Access to Essential Services,"Expanding access to essential services through broadband internet providing wireless internet, telephone communications, 25Mbps download speeds, and fiber infrastructure to rural communities",,,,,,,,,,,,,https://source.arctal.ai/entities/fond-du-lac/bond-prospectus__2022__preliminary-limited-offering-memorandum-fond-du-lac-county__2022-06-27__e15fe5f797ca.pdf#page=24,,
US34446ABM99,3,Fond Du Lac,SSA,Social,10715000,USD,10715000.0,,Access to Essential Services,Socioeconomic Advancement and Empowerment,Healthcare,Socioeconomic Advancement and Empowerment,"Promoting socioeconomic advancement and empowerment for underserved rural populations through tele-health services, online education, and connectivity with emergency responders",,,,,,,,,,,,,https://source.arctal.ai/entities/fond-du-lac/bond-prospectus__2022__preliminary-limited-offering-memorandum-fond-du-lac-county__2022-06-27__e15fe5f797ca.pdf#page=24,,
US34446ABM99,4,Fond Du Lac,SSA,Social,10715000,USD,10715000.0,,Employment Generation,Employment Generation,SME Financing,Employment Generation,"Generating additional employment opportunities through economic development, remote work possibilities, and supporting local businesses via online ordering",,,,,,,,,,,,,https://source.arctal.ai/entities/fond-du-lac/bond-prospectus__2022__preliminary-limited-offering-memorandum-fond-du-lac-county__2022-06-27__e15fe5f797ca.pdf#page=24,,
US45203M3T64,1,Illinois Housing Development Authority,SSA,Social,1600000,USD,1600000.0,,Access to Essential Services,Affordable Housing,Education & Vocational Training,Homebuyer Education,"Free financial education and pre-purchase counseling; HUD-compliant courses required for all borrowers, completed prior to closing",,,,,,,,,,,,,https://source.arctal.ai/entities/illinois-housing-development-authority/bond-prospectus__2026__official-illinois-housing-development-authority-200-million__2026-04-07__f2f49aef3cd6.pdf#page=303,,
US45203M3T64,2,Illinois Housing Development Authority,SSA,Social,1600000,USD,1600000.0,,Affordable Housing,Affordable Housing,Low-income Housing,Mortgage Loan Financing,"30-year fixed interest rate mortgage loans for first-time homebuyers and persons who have not owned a home in the last three years; income criteria specific to county, sales price guidelines specific to area",,,,,,,,,,,,,https://source.arctal.ai/entities/illinois-housing-development-authority/bond-prospectus__2026__official-illinois-housing-development-authority-200-million__2026-04-07__f2f49aef3cd6.pdf#page=303,,
US45203M3T64,3,Illinois Housing Development Authority,SSA,Social,1600000,USD,1600000.0,,Affordable Housing,Affordable Housing,Low-income Housing,Down Payment Assistance,"Consolidated down payment assistance: Access Forgivable (4% up to $6,000), Access Deferred (5% up to $7,500), Access Repayable (10% up to $10,000), Access Home (6% up to $15,000), Smart Buy ($5,000 plus up to $40,000 student loan debt relief)",,,,,,,,,,,,,https://source.arctal.ai/entities/illinois-housing-development-authority/bond-prospectus__2026__official-illinois-housing-development-authority-200-million__2026-04-07__f2f49aef3cd6.pdf#page=303,,
US45203MKZ31,1,Illinois Housing Development Authority,SSA,Social,1505000,USD,1505000.0,,Access to Essential Services,Access to Essential Services,Access to Finance,Homebuyer Education and Counseling,"Free financial education and pre-purchase counseling required for all IHDA mortgage programs, meeting HUD or National Industry Standards","Eligibility criteria include: income limits (below 80% AMI and 80%-100% AMI bands), first-time homebuyer requirements, student loan debt minimum ($1,000) for Smart Buy, and completion of homebuyer education courses.",,,,,,,,,,,,https://source.arctal.ai/entities/illinois-housing-development-authority/bond-prospectus__2023__official-illinois-housing-development-authority-195-million__2023-02-28__82c5f66ac463.pdf#page=304,,
US45203MKZ31,2,Illinois Housing Development Authority,SSA,Social,1505000,USD,1505000.0,,Affordable Housing,Affordable Housing,Low-income Housing,Single Family Mortgage Loans,30-year fixed interest rate mortgage loans to make homeownership affordable for first-time homebuyers and persons who have not owned a home in the last three years,,,,,,,,,,,,,https://source.arctal.ai/entities/illinois-housing-development-authority/bond-prospectus__2023__official-illinois-housing-development-authority-195-million__2023-02-28__82c5f66ac463.pdf#page=302,,
US45203MKZ31,3,Illinois Housing Development Authority,SSA,Social,1505000,USD,1505000.0,,Affordable Housing,Affordable Housing,Low-income Housing,Down Payment Assistance,"Second mortgage loan of 4% of purchase price (up to $6,000) for down payment/closing cost assistance, forgiven monthly over ten years",Homebuyer Education and Counseling is required for all programs but does not have a separate allocation amount.,,,,,,,,,,,,https://source.arctal.ai/entities/illinois-housing-development-authority/bond-prospectus__2023__official-illinois-housing-development-authority-195-million__2023-02-28__82c5f66ac463.pdf#page=303,,
US45203MKZ31,4,Illinois Housing Development Authority,SSA,Social,1505000,USD,1505000.0,,Affordable Housing,Affordable Housing,Low-income Housing,Multifamily Rental Housing,"Low Income Housing Tax Credit rental housing developments including new construction, rehabilitation, and adaptive reuse of buildings","Pages 312-313 contain eligibility criteria and requirements for IHDA Multifamily Social/Sustainability Bond program, not a financial allocation table with specific amounts; No specific dollar amounts are listed in these pages - the content describes program requirements, accessibility standards, and eligibility criteria; Key requirements identified: LIHTC requirement for all projects, 10% mobility impairment units, 20% adaptable dwelling units, 2% sensory impairment units, green design requirements, broadband infrastructure; Universal Design requires 10 additional items above code in 100% of units; Rehabilitation projects require Physical Needs Assessment (PNA)",,,,,,,,,,,,https://source.arctal.ai/entities/illinois-housing-development-authority/bond-prospectus__2023__official-illinois-housing-development-authority-195-million__2023-02-28__82c5f66ac463.pdf#page=312,,
US45203MKZ31,5,Illinois Housing Development Authority,SSA,Social,1505000,USD,1505000.0,,Affordable Housing,Access to Essential Services,Low-income Housing,Senior Housing,Housing developments meeting accessibility requirements including adaptable dwelling units (minimum 20% of units) and universal design features,"Pages 312-313 contain eligibility criteria and requirements for IHDA Multifamily Social/Sustainability Bond program, not a financial allocation table with specific amounts; No specific dollar amounts are listed in these pages - the content describes program requirements, accessibility standards, and eligibility criteria; Key requirements identified: LIHTC requirement for all projects, 10% mobility impairment units, 20% adaptable dwelling units, 2% sensory impairment units, green design requirements, broadband infrastructure; Universal Design requires 10 additional items above code in 100% of units; Rehabilitation projects require Physical Needs Assessment (PNA)",,,,,,,,,,,,https://source.arctal.ai/entities/illinois-housing-development-authority/bond-prospectus__2023__official-illinois-housing-development-authority-195-million__2023-02-28__82c5f66ac463.pdf#page=312,,
US45203MKZ31,6,Illinois Housing Development Authority,SSA,Social,1505000,USD,1505000.0,,Affordable Housing,Access to Essential Services,Social Housing,Supportive Housing,"Housing with supportive services for persons with mobility impairments (minimum 10% of units), sensory impairments (minimum 2% of units), and other accessibility needs","Pages 312-313 contain eligibility criteria and requirements for IHDA Multifamily Social/Sustainability Bond program, not a financial allocation table with specific amounts; No specific dollar amounts are listed in these pages - the content describes program requirements, accessibility standards, and eligibility criteria; Key requirements identified: LIHTC requirement for all projects, 10% mobility impairment units, 20% adaptable dwelling units, 2% sensory impairment units, green design requirements, broadband infrastructure; Universal Design requires 10 additional items above code in 100% of units; Rehabilitation projects require Physical Needs Assessment (PNA)",,,,,,,,,,,,https://source.arctal.ai/entities/illinois-housing-development-authority/bond-prospectus__2023__official-illinois-housing-development-authority-195-million__2023-02-28__82c5f66ac463.pdf#page=312,,
